dex number,pokemon,Information links,Location,picture location ,location_html
050,Wyrdeer,https://www.serebii.net//pokedex-swsh/wyrdeer/, Obsidian Fieldlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/899.png,"<td class=""fooinfo""> <br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
051,Munchlax,https://www.serebii.net//pokedex-swsh/munchlax/,Obsidian Fieldlands: Deertrack Heights or nearbyAlabaster Icelands: Snowfall Hot Spring or nearbyObsidian Fieldlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/446.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/deertrackheights.shtml"">Deertrack Heights</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/snowfallhotspring.shtml"">Snowfall Hot Spring</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
052,Snorlax,https://www.serebii.net//pokedex-swsh/snorlax/,Obsidian Fieldlands: Sandgem Flats or nearbyAlabaster Icelands: Snowfall Hot Spring or nearbyObsidian Fieldlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/143.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/sandgemflats.shtml"">Sandgem Flats</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/snowfallhotspring.shtml"">Snowfall Hot Spring</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
053,Paras,https://www.serebii.net//pokedex-swsh/paras/,"Obsidian Fieldlands: Nature's Pantry or nearbyCrimson Mirelands: Golden Lowlands, Diamond Heath, Cloudpool Ridge, Cottonsedge Prairie or nearbyCobalt Coastlands: Windbreak Stand or nearbyCoronet Highlands: Heavenward Lookout, Wayward Wood or nearbyObsidian Fieldlands: Massive Mass OutbreakCrimson Mirelands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/046.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/nature'spantry.shtml"">Nature's Pantry</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/goldenlowlands.shtml"">Golden Lowlands</a>, <a href=""/pokearth/hisui/diamondheath.shtml"">Diamond Heath</a>, <a href=""/pokearth/hisui/cloudpoolridge.shtml"">Cloudpool Ridge</a>, <a href=""/pokearth/hisui/cottonsedgeprairie.shtml"">Cottonsedge Prairie</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/windbreakstand.shtml"">Windbreak Stand</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/heavenwardlookout.shtml"">Heavenward Lookout</a>, <a href=""/pokearth/hisui/waywardwood.shtml"">Wayward Wood</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b>: Massive Mass Outbreak</a></td>"
054,Parasect,https://www.serebii.net//pokedex-swsh/parasect/,"Obsidian Fieldlands: Nature's Pantry or nearbyCrimson Mirelands: Golden Lowlands, Diamond Heath, Cloudpool Ridge, Cottonsedge Prairie or nearbyCobalt Coastlands: Windbreak Stand or nearbyCoronet Highlands: Heavenward Lookout, Wayward Wood or nearbyObsidian Fieldlands: Massive Mass OutbreakCrimson Mirelands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/047.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/nature'spantry.shtml"">Nature's Pantry</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/goldenlowlands.shtml"">Golden Lowlands</a>, <a href=""/pokearth/hisui/diamondheath.shtml"">Diamond Heath</a>, <a href=""/pokearth/hisui/cloudpoolridge.shtml"">Cloudpool Ridge</a>, <a href=""/pokearth/hisui/cottonsedgeprairie.shtml"">Cottonsedge Prairie</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/windbreakstand.shtml"">Windbreak Stand</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/heavenwardlookout.shtml"">Heavenward Lookout</a>, <a href=""/pokearth/hisui/waywardwood.shtml"">Wayward Wood</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b>: Massive Mass Outbreak</a></td>"
055,Pichu,https://www.serebii.net//pokedex-swsh/pichu/,"Obsidian Fieldlands: Floaro Gardens, Nature's Pantry or nearbyCrimson Mirelands: Golden Lowlands or nearbyObsidian Fieldlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/172.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/floarogardens.shtml"">Floaro Gardens</a>, <a href=""/pokearth/hisui/nature'spantry.shtml"">Nature's Pantry</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/goldenlowlands.shtml"">Golden Lowlands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
056,Pikachu,https://www.serebii.net//pokedex-swsh/pikachu/,Obsidian Fieldlands: Nature's Pantry or nearbyCrimson Mirelands: Golden Lowlands or nearbyCobalt Coastlands: Windbreak Stand or nearbyObsidian Fieldlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/025.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/nature'spantry.shtml"">Nature's Pantry</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/goldenlowlands.shtml"">Golden Lowlands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/windbreakstand.shtml"">Windbreak Stand</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
057,Raichu,https://www.serebii.net//pokedex-swsh/raichu/,Crimson Mirelands: Golden Lowlands or nearbyObsidian Fieldlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/026.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/goldenlowlands.shtml"">Golden Lowlands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
058,Abra,https://www.serebii.net//pokedex-swsh/abra/,"Obsidian Fieldlands: Windswept Run, Sandgem Flats or nearbyAlabaster Icelands: Lake Acuity or nearbyObsidian Fieldlands: Massive Mass OutbreakAlabaster Icelands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/063.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/windsweptrun.shtml"">Windswept Run</a>, <a href=""/pokearth/hisui/sandgemflats.shtml"">Sandgem Flats</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/lakeacuity.shtml"">Lake Acuity</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b>: Massive Mass Outbreak</a></td>"
059,Kadabra,https://www.serebii.net//pokedex-swsh/kadabra/,Obsidian Fieldlands: Sandgem Flats or nearbyAlabaster Icelands: Lake Acuity or nearbyObsidian Fieldlands: Massive Mass OutbreakAlabaster Icelands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/064.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/sandgemflats.shtml"">Sandgem Flats</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/lakeacuity.shtml"">Lake Acuity</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b>: Massive Mass Outbreak</a></td>"
060,Alakazam,https://www.serebii.net//pokedex-swsh/alakazam/,Obsidian Fieldlands: Sandgem Flats or nearbyObsidian Fieldlands: Massive Mass OutbreakAlabaster Icelands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/065.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/sandgemflats.shtml"">Sandgem Flats</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b>: Massive Mass Outbreak</a></td>"
061,Chimchar,https://www.serebii.net//pokedex-swsh/chimchar/,"Obsidian Fieldlands: Deertrack Heights, Ramanas Island or nearbyObsidian Fieldlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/390.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/deertrackheights.shtml"">Deertrack Heights</a>, <a href=""/pokearth/hisui/ramanasisland.shtml"">Ramanas Island</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
062,Monferno,https://www.serebii.net//pokedex-swsh/monferno/,Obsidian Fieldlands: Ramanas Island or nearbyObsidian Fieldlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/391.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/ramanasisland.shtml"">Ramanas Island</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
063,Infernape,https://www.serebii.net//pokedex-swsh/infernape/,Obsidian Fieldlands: Ramanas Island or nearbyObsidian Fieldlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/392.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/ramanasisland.shtml"">Ramanas Island</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
064,Buneary,https://www.serebii.net//pokedex-swsh/buneary/,"Obsidian Fieldlands: Heartwood or nearbyAlabaster Icelands: Bonechill Wastes, Snowfall Hot Spring or nearbyObsidian Fieldlands: Massive Mass OutbreakAlabaster Icelands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/427.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/heartwood.shtml"">Heartwood</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/bonechillwastes.shtml"">Bonechill Wastes</a>, <a href=""/pokearth/hisui/snowfallhotspring.shtml"">Snowfall Hot Spring</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b>: Massive Mass Outbreak</a></td>"
065,Lopunny,https://www.serebii.net//pokedex-swsh/lopunny/,"Obsidian Fieldlands: Heartwood or nearbyAlabaster Icelands: Bonechill Wastes, Snowfall Hot Spring or nearbyObsidian Fieldlands: Massive Mass OutbreakAlabaster Icelands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/428.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/heartwood.shtml"">Heartwood</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/bonechillwastes.shtml"">Bonechill Wastes</a>, <a href=""/pokearth/hisui/snowfallhotspring.shtml"">Snowfall Hot Spring</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b>: Massive Mass Outbreak</a></td>"
066,Cherubi,https://www.serebii.net//pokedex-swsh/cherubi/,"Obsidian Fieldlands: Heartwood or nearbyCrimson Mirelands: Gapejaw Bog or nearbyCoronet Highlands: Lonely Spring, Fabled Spring, Primeval Grotto or nearby",https://www.serebii.net//legendsarceus/pokemon/small/420.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/heartwood.shtml"">Heartwood</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/gapejawbog.shtml"">Gapejaw Bog</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/lonelyspring.shtml"">Lonely Spring</a>, <a href=""/pokearth/hisui/fabledspring.shtml"">Fabled Spring</a>, <a href=""/pokearth/hisui/primevalgrotto.shtml"">Primeval Grotto</a> <i>or nearby</i></td>"
067,Cherrim,https://www.serebii.net//pokedex-swsh/cherrim/,"Obsidian Fieldlands: Heartwood or nearbyCrimson Mirelands: Gapejaw Bog or nearbyCoronet Highlands: Lonely Spring, Fabled Spring, Primeval Grotto or nearby",https://www.serebii.net//legendsarceus/pokemon/small/421.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/heartwood.shtml"">Heartwood</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/gapejawbog.shtml"">Gapejaw Bog</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/lonelyspring.shtml"">Lonely Spring</a>, <a href=""/pokearth/hisui/fabledspring.shtml"">Fabled Spring</a>, <a href=""/pokearth/hisui/primevalgrotto.shtml"">Primeval Grotto</a> <i>or nearby</i></td>"
068,Psyduck,https://www.serebii.net//pokedex-swsh/psyduck/,"Obsidian Fieldlands: Heartwood or nearbyCrimson Mirelands: Golden Lowlands, Gapejaw Bog, Holm of Trials or nearbyCobalt Coastlands: Bathers' Lagoon or nearbyCoronet Highlands: Wayward Wood, Lonely Spring or nearbyCrimson Mirelands: Massive Mass OutbreakCobalt Coastlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/054.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/heartwood.shtml"">Heartwood</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/goldenlowlands.shtml"">Golden Lowlands</a>, <a href=""/pokearth/hisui/gapejawbog.shtml"">Gapejaw Bog</a>, <a href=""/pokearth/hisui/holmoftrials.shtml"">Holm of Trials</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/bathers'lagoon.shtml"">Bathers' Lagoon</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/waywardwood.shtml"">Wayward Wood</a>, <a href=""/pokearth/hisui/lonelyspring.shtml"">Lonely Spring</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b>: Massive Mass Outbreak</a></td>"
069,Golduck,https://www.serebii.net//pokedex-swsh/golduck/,"Crimson Mirelands: Holm of Trials or nearbyCobalt Coastlands: Bathers' Lagoon, Spring Path or nearbyCoronet Highlands: Wayward Wood, Lonely Spring or nearbyCrimson Mirelands: Massive Mass OutbreakCobalt Coastlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/055.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/holmoftrials.shtml"">Holm of Trials</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/bathers'lagoon.shtml"">Bathers' Lagoon</a>, <a href=""/pokearth/hisui/springpath.shtml"">Spring Path</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/waywardwood.shtml"">Wayward Wood</a>, <a href=""/pokearth/hisui/lonelyspring.shtml"">Lonely Spring</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b>: Massive Mass Outbreak</a></td>"
070,Combee,https://www.serebii.net//pokedex-swsh/combee/,"Obsidian Fieldlands: Heartwood, Grueling Cove, Ramanas Island or nearbyCrimson Mirelands: Cloudpool Ridge, Lake Valor, Cottonsedge Prairie, Droning Meadow or nearbyCobalt Coastlands: Aipom Hill or nearby",https://www.serebii.net//legendsarceus/pokemon/small/415.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/heartwood.shtml"">Heartwood</a>, <a href=""/pokearth/hisui/gruelingcove.shtml"">Grueling Cove</a>, <a href=""/pokearth/hisui/ramanasisland.shtml"">Ramanas Island</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/cloudpoolridge.shtml"">Cloudpool Ridge</a>, <a href=""/pokearth/hisui/lakevalor.shtml"">Lake Valor</a>, <a href=""/pokearth/hisui/cottonsedgeprairie.shtml"">Cottonsedge Prairie</a>, <a href=""/pokearth/hisui/droningmeadow.shtml"">Droning Meadow</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/aipomhill.shtml"">Aipom Hill</a> <i>or nearby</i></td>"
071,Vespiquen,https://www.serebii.net//pokedex-swsh/vespiquen/,"Crimson Mirelands: Lake Valor, Cottonsedge Prairie, Droning Meadow or nearby",https://www.serebii.net//legendsarceus/pokemon/small/416.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/lakevalor.shtml"">Lake Valor</a>, <a href=""/pokearth/hisui/cottonsedgeprairie.shtml"">Cottonsedge Prairie</a>, <a href=""/pokearth/hisui/droningmeadow.shtml"">Droning Meadow</a> <i>or nearby</i></td>"
072,Scyther,https://www.serebii.net//pokedex-swsh/scyther/,Obsidian Fieldlands: Grandtree Arena or nearbyCoronet Highlands: Primeval Grotto or nearbyObsidian Fieldlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/123.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/grandtreearena.shtml"">Grandtree Arena</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/primevalgrotto.shtml"">Primeval Grotto</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
073,Kleavor,https://www.serebii.net//pokedex-swsh/kleavor/, Obsidian Fieldlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/900.png,"<td class=""fooinfo""> <br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a></td>"
074,Scizor,https://www.serebii.net//pokedex-swsh/scizor/,Alabaster Icelands: Space-time Distortion in Alabaster Icelands or nearby,https://www.serebii.net//legendsarceus/pokemon/small/212.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/alabastericelands.shtml"">Space-time Distortion in Alabaster Icelands</a> <i>or nearby</i></td>"
075,Heracross,https://www.serebii.net//pokedex-swsh/heracross/,Obsidian Fieldlands: Grueling Grove or nearbyCoronet Highlands: Wayward Wood or nearbyCoronet Highlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/214.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/gruelinggrove.shtml"">Grueling Grove</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b></a>: <a href=""/pokearth/hisui/waywardwood.shtml"">Wayward Wood</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b>: Massive Mass Outbreak</a></td>"
076,MimeJr,https://www.serebii.net//pokedex-swsh/mimejr./,"Obsidian Fieldlands: Horseshoe Plains, Sandgem Flats or nearbyObsidian Fieldlands: Massive Mass OutbreakCoronet Highlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/439.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/horseshoeplains.shtml"">Horseshoe Plains</a>, <a href=""/pokearth/hisui/sandgemflats.shtml"">Sandgem Flats</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b>: Massive Mass Outbreak</a></td>"
077,MrMime,https://www.serebii.net//pokedex-swsh/mr.mime/,Obsidian Fieldlands: Sandgem Flats or nearbyObsidian Fieldlands: Massive Mass OutbreakCoronet Highlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/122.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/sandgemflats.shtml"">Sandgem Flats</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b>: Massive Mass Outbreak</a></td>"
078,Aipom,https://www.serebii.net//pokedex-swsh/aipom/,"Obsidian Fieldlands: Ramanas Island or nearbyCobalt Coastlands: Aipom Hill, Hideaway Bay or nearbyAlabaster Icelands: Whiteout Valley, Glacier Terrace, Snowfall Hot Spring, Heart's Crag or nearbyCobalt Coastlands: Massive Mass OutbreakAlabaster Icelands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/190.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/ramanasisland.shtml"">Ramanas Island</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b></a>: <a href=""/pokearth/hisui/aipomhill.shtml"">Aipom Hill</a>, <a href=""/pokearth/hisui/hideawaybay.shtml"">Hideaway Bay</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/whiteoutvalley.shtml"">Whiteout Valley</a>, <a href=""/pokearth/hisui/glacierterrace.shtml"">Glacier Terrace</a>, <a href=""/pokearth/hisui/snowfallhotspring.shtml"">Snowfall Hot Spring</a>, <a href=""/pokearth/hisui/heart'scrag.shtml"">Heart's Crag</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/cobaltcoastlands.shtml""><b>Cobalt Coastlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b>: Massive Mass Outbreak</a></td>"
